text_num,grade_level,stride_len,stride_index,n_gram,noun_tr,verb_tr,type_tr,lex_density,lex_foreign,sent_len,word_len,word_num,syll_num,poly_num
18,0,1,0,Teacher,1.0,0.0,1.0,1.0,1.0,,7.0,,2.0,0
18,0,1,1,ako,0.0,0.0,1.0,0.0,0.0,,3.0,,1.0,0
18,0,1,2,na,0.0,0.0,1.0,0.0,0.0,,2.0,,1.0,0
18,0,1,3,po,0.0,0.0,1.0,1.0,0.0,,2.0,,1.0,0
18,0,1,4,ang,0.0,0.0,1.0,0.0,0.0,,3.0,,1.0,0
18,0,1,5,sasagot,0.0,1.0,1.0,1.0,0.0,,7.0,,1.0,0
18,0,1,6,anini,0.0,0.0,1.0,0.0,0.0,,5.0,,2.0,0
18,0,1,7,Regie,1.0,0.0,1.0,1.0,0.0,,5.0,,2.0,0
18,0,1,8,Boy,1.0,0.0,1.0,1.0,0.0,,3.0,,1.0,0
18,0,1,9,isa,0.0,0.0,1.0,0.0,0.0,,3.0,,0.0,0
18,0,1,10,siya,0.0,0.0,1.0,0.0,0.0,,4.0,,0.0,0
18,0,1,11,sa,0.0,0.0,1.0,0.0,0.0,,2.0,,0.0,0
18,0,1,12,mga,0.0,0.0,1.0,0.0,0.0,,3.0,,1.0,0
18,0,1,13,pinakamasigasig,0.0,0.0,1.0,1.0,0.0,,15.0,,5.0,1
18,0,1,14,sa,0.0,0.0,1.0,0.0,0.0,,2.0,,0.0,0
18,0,1,15,aking,0.0,0.0,1.0,0.0,0.0,,5.0,,2.0,0
18,0,1,16,klase,1.0,0.0,1.0,1.0,0.0,,5.0,,1.0,0
18,0,1,17,kabilang,0.0,0.0,1.0,0.0,0.0,,8.0,,4.0,1
18,0,1,18,siya,0.0,0.0,1.0,0.0,0.0,,4.0,,0.0,0
18,0,1,19,sa,0.0,0.0,1.0,0.0,0.0,,2.0,,0.0,0
18,0,1,20,mga,0.0,0.0,1.0,0.0,0.0,,3.0,,1.0,0
18,0,1,21,Indigenous,1.0,0.0,1.0,1.0,0.0,,10.0,,3.0,0
18,0,1,22,People,1.0,0.0,1.0,1.0,0.0,,6.0,,2.0,0
18,0,1,23,na,0.0,0.0,1.0,0.0,0.0,,2.0,,1.0,0
18,0,1,24,tribung,1.0,0.0,1.0,1.0,0.0,,7.0,,3.0,0
18,0,1,25,Blaan,1.0,0.0,1.0,1.0,0.0,,5.0,,1.0,0
18,0,1,26,masigla,0.0,0.0,1.0,1.0,0.0,,7.0,,2.0,0
18,0,1,27,siya,0.0,0.0,1.0,0.0,0.0,,4.0,,0.0,0
18,0,1,28,masipag,0.0,0.0,1.0,1.0,0.0,,7.0,,2.0,0
18,0,1,29,at,0.0,0.0,1.0,0.0,0.0,,2.0,,0.0,0
18,0,1,30,mabait,0.0,0.0,1.0,1.0,0.0,,6.0,,2.0,0
18,0,1,31,na,0.0,0.0,1.0,0.0,0.0,,2.0,,1.0,0
18,0,1,32,bata,1.0,0.0,1.0,1.0,0.0,,4.0,,2.0,0
18,0,1,33,Bagay,1.0,0.0,1.0,1.0,0.0,,5.0,,2.0,0
18,0,1,34,sa,0.0,0.0,1.0,0.0,0.0,,2.0,,0.0,0
18,0,1,35,hugis,1.0,0.0,1.0,1.0,0.0,,5.0,,2.0,0
18,0,1,36,ng,0.0,0.0,1.0,0.0,0.0,,2.0,,1.0,0
18,0,1,37,kaniyang,0.0,0.0,1.0,0.0,0.0,,8.0,,3.0,0
18,0,1,38,mukha,1.0,0.0,1.0,1.0,0.0,,5.0,,2.0,0
18,0,1,39,ang,0.0,0.0,1.0,0.0,0.0,,3.0,,1.0,0
18,0,1,40,bilog,1.0,0.0,1.0,1.0,0.0,,5.0,,2.0,0
18,0,1,41,niyang,0.0,0.0,1.0,0.0,0.0,,6.0,,2.0,0
